dateopen,open
2020-02-10,10115.55969
2020-02-11,9855.891709
2020-02-12,10202.38765
2020-02-13,10323.96049
2020-02-14,10211.55039
2020-02-15,10313.85684
2020-02-16,9889.179705
2020-02-17,9936.56026
2020-02-18,9691.230945
2020-02-19,10143.79836
2020-02-20,9629.32531
2020-02-21,9611.78202
2020-02-22,9687.70676
2020-02-23,9663.318642
2020-02-24,9921.583461
2020-02-25,9651.312799
2020-02-26,9338.29028
2020-02-27,8825.093518
2020-02-28,8788.728547
2020-02-29,8671.212542
2020-03-01,8599.758344
2020-03-02,8563.264259
2020-03-03,8865.387965
2020-03-04,8788.542186
2020-03-05,8760.28504
2020-03-06,9078.308529
2020-03-07,9121.600536
2020-03-08,8908.206015
2020-03-09,8111.146392
2020-03-10,7922.147042
2020-03-11,7910.089807
2020-03-12,7913.616388
2020-03-13,5017.830839
2020-03-14,5573.07765
2020-03-15,5201.066687
2020-03-16,5385.229522
2020-03-17,5002.578138
2020-03-18,5227.113689
2020-03-19,5245.416603
2020-03-20,6191.653721
2020-03-21,6206.52165
2020-03-22,6185.557903
2020-03-23,5831.374735
2020-03-24,6436.642451
2020-03-25,6738.71664
2020-03-26,6675.170655
2020-03-27,6719.388974
2020-03-28,6467.254046
2020-03-29,6245.624627
2020-03-30,5925.538489
2020-03-31,6430.606528
2020-04-01,6437.319215
2020-04-02,6606.776268
2020-04-03,6797.396592
2020-04-04,6738.38302
2020-04-05,6862.537826
2020-04-06,6788.049803
2020-04-07,7273.644211
2020-04-08,7179.283418
2020-04-09,7337.966183
2020-04-10,7303.815198
2020-04-11,6867.440452
2020-04-12,6858.068025
2020-04-13,6965.616638
2020-04-14,6843.281777
2020-04-15,6845.561717
2020-04-16,6640.453889
2020-04-17,7116.552609
2020-04-18,7092.291523
2020-04-19,7260.922579
2020-04-20,7186.873741
2020-04-21,6879.78435
2020-04-22,6879.4403
2020-04-23,7121.306059
2020-04-24,7434.181556
2020-04-25,7550.483012
2020-04-26,7570.138938
2020-04-27,7679.418951
2020-04-28,7796.970441
2020-04-29,7806.712564
2020-04-30,8797.67005
2020-05-01,8672.781914
2020-05-02,8869.057619
2020-05-03,8983.614149
2020-05-04,8895.744874
2020-05-05,8912.83216
